epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,10.086,1.42545,5.36107,2.77791,1.75977,0,0.00333,1,0.06067,0.0268,0.00333,1,0.05388,0.01775,0.5912,3.0823,3.14532,1.25113,0,0.000533333,0.000533333,0.000533333
2,19.9461,1.40198,5.50033,2.83249,1.80004,0,0.00333,1,0.06067,0.0268,0.00333,1,0.05388,0.01775,0.5912,3.0823,3.14532,1.25113,0,0.0011208,0.0011208,0.0011208
3,29.7958,1.22409,4.93808,2.66734,1.59478,0,0.00333,1,0.06067,0.0268,0.00333,1,0.05388,0.01775,0.5912,3.0823,3.14532,1.25113,0,0.00162027,0.00162027,0.00162027
4,39.7527,1.56213,5.28382,2.66315,1.93101,0,0.00278,0.83333,0.19768,0.05763,0.00167,0.5,0.09721,0.03982,2.55521,7.5608,4.03453,5.19001,0,0.001604,0.001604,0.001604
5,49.5855,1.65764,4.36689,2.67595,2.01594,0,0.00278,0.83333,0.19768,0.05763,0.00167,0.5,0.09721,0.03982,2.55521,7.5608,4.03453,5.19001,0,0.001472,0.001472,0.001472
6,59.4147,1.81632,4.34028,3.989,2.6856,0,0.00278,0.83333,0.19768,0.05763,0.00167,0.5,0.09721,0.03982,2.55521,7.5608,4.03453,5.19001,0,0.00134,0.00134,0.00134
7,69.2029,1.364,3.63497,3.52382,1.99888,0,0.00315,0.94444,0.1969,0.09763,0.00222,0.66667,0.08144,0.03677,1.91606,5.04416,3.80635,3.18266,0,0.001208,0.001208,0.001208
8,78.9606,1.45677,3.35986,3.12692,2.14509,0,0.00315,0.94444,0.1969,0.09763,0.00222,0.66667,0.08144,0.03677,1.91606,5.04416,3.80635,3.18266,0,0.001076,0.001076,0.001076
9,88.7207,1.4193,3.245,3.16661,2.09892,0,0.00315,0.94444,0.1969,0.09763,0.00222,0.66667,0.08144,0.03677,1.91606,5.04416,3.80635,3.18266,0,0.000944,0.000944,0.000944
10,98.4895,1.00067,3.56712,2.78781,1.74784,0,0.00333,1,0.33892,0.13521,0.00204,0.61111,0.04867,0.02263,1.19215,4.11481,3.34824,1.88887,0,0.000812,0.000812,0.000812
11,108.435,1.01588,3.61327,2.80773,1.66788,0,0.00333,1,0.33892,0.13521,0.00204,0.61111,0.04867,0.02263,1.19215,4.11481,3.34824,1.88887,0,0.00068,0.00068,0.00068
12,118.252,1.1781,3.44412,2.87903,1.7794,0,0.00333,1,0.33892,0.13521,0.00204,0.61111,0.04867,0.02263,1.19215,4.11481,3.34824,1.88887,0,0.000548,0.000548,0.000548
13,128.051,0.71709,2.85876,2.47996,1.41539,0,0.00333,1,0.64049,0.328,0.00333,1,0.4461,0.21179,0.86477,2.89284,3.05465,1.51129,0,0.000416,0.000416,0.000416
14,137.783,0.76344,2.52099,2.5167,1.52561,0,0.00333,1,0.64049,0.328,0.00333,1,0.4461,0.21179,0.86477,2.89284,3.05465,1.51129,0,0.000284,0.000284,0.000284
15,147.601,0.71009,2.67959,2.53024,1.56391,0,0.00333,1,0.64049,0.328,0.00333,1,0.4461,0.21179,0.86477,2.89284,3.05465,1.51129,0,0.000152,0.000152,0.000152
